Invoice Part Number,Invoice Part Description,Category,Ordered Qty,Rate,Price,Status
327901G000,C/GAS HYUNDAI BRIO 06-11 KIA R,Accelerator Cable,100,5.38,10.76,Active
327902D200,CABLES GAS ELANTRA 02-06,Accelerator Cable,100,3.85,7.70,Active
28113F2000,AIR FILTER ELANTRA 17-18/KONA,Air Filter,1600,5.82,11.64,Active
281131G000,FILTER-AIR CLEANER,Air Filter,100,3.89,7.78,Active
28113-1r100,FILTER-AIR CLEANER,Air Filter,1500,5.22,10.44,Active
281132M200,FILTER-AIR CLEANER,Air Filter,100,5.92,11.84,Active
28113-2M300,FILTER-AIR CLEANER,Air Filter,1500,6.60,13.20,Active
28113-2p100,FILTER-AIR CLEANER,Air Filter,1500,6.06,12.12,Active
28113-2s000,FILTER-AIR CLEANER,Air Filter,1500,5.28,10.56,Active
28113-2w100,FILTER-AIR CLEANER,Air Filter,1500,6.49,12.98,Active
281133K200,FILTER-AIR CLEANER,Air Filter,100,6.66,13.32,Active
28113-3x000,FILTER-AIR CLEANER,Air Filter,1500,5.65,11.30,Active
28113-a9100,FILTER-AIR CLEANER,Air Filter,1500,8.57,17.14,Active
28113-c1100,FILTER-AIR CLEANER,Air Filter,1600,6.76,13.52,Active
28113-d3300,FILTER-AIR CLEANER,Air Filter,1600,6.70,13.40,Active
28113G2100,FILTER-AIR CLEANER,Air Filter,100,6.66,13.32,Active
28113-K2100,FILTER-AIR CLEANER,Air Filter,1500,5.40,10.80,Active
28113-L5100,FILTER-AIR CLEANER,Air Filter,1500,6.27,12.54,Active
517601G000,BALL JOINT ASSY,Ball Joint,100,10.33,20.66,Active
517602H000,BALL JOINT ASSY,Ball Joint,100,11.28,22.56,Active
551304D000,BALL JOINT ASSY,Ball Joint,100,9.38,18.76,Active
54530F2000,"BALL JOINT ASSY,LH",Ball Joint,100,8.75,17.50,Active
54530F2100,"BALL JOINT ASSY,RH",Ball Joint,100,8.75,17.50,Active
545300U000,BALL JOINT ASSY-LWR ARM,Ball Joint,100,7.59,15.18,Active
545303B000,BALL JOINT ASSY-LWR ARM,Ball Joint,100,6.37,12.74,Active
